Epoch,Train_Loss,Val_Loss,Avg_SDR
1,42.83011054992676,53.44572321573893,-8.167595897402082
2,31.08456298283168,36.607775370279946,-8.082737445831299
3,23.64885343824114,28.748484929402668,-8.020395721708026
4,22.430507591792516,26.948570887247723,-8.117068188531059
5,21.16179425375802,29.357513427734375,-7.976290157863072
6,20.66979169845581,26.185442606608074,-8.11263918876648
7,17.049412727355957,25.24606768290202,-8.044131585529872
8,15.884048461914062,23.96555455525716,-7.95171730858939
9,15.01030431474958,23.05057144165039,-7.81866329056876
10,14.291109698159355,22.80908266703288,-7.6955587182726175
11,13.651470048086983,22.593892415364582,-7.659612246922085
12,13.14660610471453,21.43592707316081,-7.56729337147304
13,12.615427017211914,21.10102653503418,-7.191741807120187
14,12.169653006962367,20.682349522908527,-7.154225145067487
15,11.646117687225342,20.83611551920573,-6.866010836192539
16,11.362624440874372,21.06176694234212,-6.828274658748081
17,10.902629392487663,19.94375737508138,-6.700295686721802
18,10.5143769127982,19.998438517252605,-6.60893041746957
19,10.017315217426844,19.391394933064777,-6.443559271948678
20,9.7442467212677,20.784475962320965,-6.260422842843192
21,9.43643753869193,19.50342051188151,-6.191945518766131
22,9.068895646503993,19.414937337239582,-6.182735034397671
23,8.775900261742729,19.251384099324543,-5.962904759815761
24,8.45752123423985,19.464790026346844,-5.99437073298863
25,8.034272841044835,19.854859987894695,-5.788625870432172
26,7.677954418318612,18.939732551574707,-5.770167793546404
27,7.471229382923672,18.816261609395344,-5.596512658255441
28,7.030134354318891,18.603273073832195,-5.476595946720669
29,6.661197457994733,19.13344446818034,-5.1934250593185425
30,6.47541161945888,19.27280330657959,-5.167990156582424
31,6.211546250752041,19.50813643137614,-5.2099297898156305
32,6.040148104940142,19.432155927022297,-5.0540918452399115
33,5.972317269870213,19.205023765563965,-4.963398848261152
34,5.561057073729379,20.43806807200114,-4.9485302822930475
35,5.386157870292664,19.56978416442871,-4.667636581829616
36,5.2288322533879965,18.70179049173991,-4.822443638529096
37,5.040319068091256,18.862162272135418,-4.4459793737956455
38,4.713298303740365,20.740036328633625,-4.1834759541920254
39,4.54236900806427,19.834658940633137,-4.41785420690264
40,4.1372994354793,18.658865292867024,-4.163029968738556
41,4.138700340475355,18.72173849741618,-3.938677498272487
42,4.102100517068591,18.108935674031574,-3.926892872367586
43,3.767431047612003,20.42731475830078,-3.549590276820319
44,3.670329842184271,18.827582359313965,-3.4136827843529836
45,3.3955504425934384,18.571804682413738,-3.3116253273827687
46,3.109305509499141,18.681216875712078,-3.1216177011707
47,2.9108020961284637,19.446743329366047,-2.9518689811229706
48,2.6469299608309353,19.517943064371746,-2.7365265488624573
49,2.4134053332465037,19.527703285217285,-2.7214013125215257
50,2.115550566996847,18.485154787699383,-2.744246870279312
51,1.90817731898278,19.0326665242513,-2.3462538548878262
52,1.7290107985692365,17.641648292541504,-2.478054566042764
53,2.167602883119668,19.144489288330078,-2.491465525967734
54,1.8454256132245064,18.520496050516766,-2.5045749566384723
55,1.3356871817793166,18.568434079488117,-2.399780450122697
56,1.2050606054919106,18.013113657633465,-2.2445604875683784
57,1.115259553704943,18.338944753011067,-2.254393973520824
58,0.8945125322788954,18.636257489522297,-1.889473823564393
59,1.1124613032277142,19.15094788869222,-1.8884567533220564
60,1.242548975228731,18.442248980204266,-2.0675833225250244
61,0.9710993857256004,19.071762720743816,-2.2775450104049275
62,0.9520017744175026,18.7727845509847,-2.1599148884415627
63,0.47915892781955854,19.176786422729492,-2.2164371950285777
64,0.4416693353227207,18.066566785176594,-1.8368947670928069
65,0.07449182389037949,18.586766242980957,-1.8384721960340227
66,-0.03435525244900158,18.504761695861816,-2.03214005886444
67,-0.003658880080495562,19.334260940551758,-1.8248239170227731
68,-0.13575706178588526,18.010748545328777,-1.679385713168553
69,-0.3425111642905644,18.112980206807453,-1.9679116031953268
70,-0.346491363165634,19.187265078226726,-1.438756987452507
71,-0.37533892158951077,18.544172922770183,-1.5879413826125008
72,-0.5078297683170864,17.709886868794758,-1.737769402563572
73,-0.5565209835767746,18.915375391642254,-1.5275366146649634
74,-0.7929706254175731,18.321635882059734,-1.4617449300629752
75,-0.9309833858694349,18.82572301228841,-1.9388192125729151
76,-0.8173222584383828,18.935022354125977,-1.4249167697770255
77,-0.5300480521150998,17.890294710795086,-1.7603460038746042
78,-0.6056462531643254,20.23430569966634,-1.8909661599567957
79,-0.7517885665542313,18.93769709269206,-1.9033653161355428
80,-1.0144597291946411,18.57198715209961,-1.4037635283810752
81,-0.9437992955957141,20.103814442952473,-1.6648818334298474
82,-1.318423969405038,18.2091490427653,-0.9941449420792716
83,-1.565713724919728,18.752651850382488,-1.4091188269002097
84,-1.7891569236027343,19.602219263712566,-1.4592702175889696
85,-1.9435558609132255,19.376291275024414,-1.63031873293221
86,-1.838225910173995,18.556413332621258,-1.320212002311434
87,-1.9909326753446035,18.58108393351237,-1.5598111754017217
88,-1.9970894626208715,19.440633138020832,-1.4087050131389074
89,-2.0568340782608305,19.717875162760418,-1.4702371688825744
90,-1.8632201658827918,18.004907608032227,-1.5614232846668787
91,-2.276422488503158,17.957753499348957,-1.6012331013168608
92,-2.4517245069146156,18.239009221394856,-1.209879663905927
93,-2.485253691673279,19.475969314575195,-1.3921500135745322
94,-2.4536770241601125,18.810834248860676,-1.071903305394309
95,-1.9536883639437812,19.89651870727539,-1.2158331876354558
96,-2.2057015980992998,19.6625181833903,-1.551636923636709
97,-2.2239727479006564,18.310280799865723,-1.2977682437215532
98,-1.6240790975945336,19.893951416015625,-1.6028144347614475
99,-1.5995872574193137,19.655038197835285,-1.36464540128197
100,-2.0180957657950267,18.959341367085774,-1.6825587238584245
